"Variable","IRR","Lower_CI","Upper_CI","P_value"
"(Intercept)",0.06914723002856,0.0004116339049295,11.6155140851225,0.306818767977364
"import_from_slu_log",0.997874605785919,0.990372325222601,1.00543371771681,0.580544679840138
"age",1.00581223669262,1.00557061437262,1.00605391707055,0
"state_unemployment",0.983101386090188,0.939089432571013,1.02917603138864,0.46580125114632
"immigrant_density",0.996366473027473,0.992420573642549,1.00032806144824,0.0721791794724109
"state_percapita_income_log",1.47514356142104,0.924073573151099,2.35484336964817,0.103292052208675
"climate_distance",0.957660710127638,0.774738389583564,1.183772545743,0.68913659962355
"sex_enc1",1.01048110017749,1.0034911015469,1.01751978890686,0.00323973639781828
"marital_status_enc1",1.00399440097193,0.980479375818247,1.02807339148952,0.741642462049378
"marital_status_enc2",1.0040060492707,0.995669153472484,1.01241275122019,0.347330107419741
"employment_status_enc1",0.954348597465026,0.902801127486775,1.00883928669751,0.0990741272624176
"employment_status_enc2",1.11408530842478,1.07073306856107,1.1591928099465,9.55590296017529e-08
"purpose_simple1",1.21011772451682,1.16412888067618,1.25792335496323,5.01381278655476e-22
"purpose_simple2",1.56565867244033,1.51803435881443,1.61477707296561,5.58589017943533e-178
"purpose_simple3",1.15635226140638,1.12583359964053,1.18769821125129,1.83147427356789e-26
"purpose_simple4",1.00798027730222,0.977018424667704,1.03992331544394,0.617524813153424
"accomd_type_enc1",1.13948951463087,1.1191299203301,1.16021949763502,9.69860779040059e-46
"accomd_type_enc2",1.26608436826459,1.25303156817588,1.27927313906184,0
