"Variable","IRR","Lower_CI","Upper_CI","P_value"
"(Intercept)",1.71523877742738,1.26451173771395,2.32662455858999,0.000522772344035792
"import_from_slu_log",1.00080332217079,0.999976533525769,1.00163079441131,0.0568649270172514
"age",1.00715357275818,1.00688221774525,1.00742500090135,0
"distance_miles_log",1.09351473425961,1.05229742690519,1.1363464772119,5.10437093038327e-06
"state_unemployment",0.967957254195598,0.96252773234021,0.973417403436138,7.60398593703147e-30
"immigrant_density",0.998897552515174,0.998623314874065,0.999171865466245,3.4386076822717e-15
"sex_enc1",1.00937416639951,1.00234691597746,1.01645068344542,0.0088537473318796
"marital_status_enc1",1.0211662620323,0.997213624195789,1.04569423181917,0.0837034944246873
"marital_status_enc2",1.03187518132325,1.02307762034881,1.04074839352645,6.8376716763863e-13
"employment_status_enc1",1.12544378658834,1.08145934721155,1.17121713362242,6.24169573915517e-09
"employment_status_enc2",0.94786763973823,0.896572402811548,1.00209761046122,0.0592706404177285
"purpose_simple2",1.49280030429491,1.42624343071134,1.56246311149812,1.96606725331232e-66
"purpose_simple3",1.10818409092969,0.648417542271048,1.89395242930721,0.707163951613873
"purpose_simple4",1.4587735342011,1.37699116678343,1.54541312640117,1.14948080899666e-37
"purpose_simple5",1.31425743903698,1.25699319297999,1.37413044534404,2.69282784843042e-33
"accomd_type_enc1",1.17654543782478,1.15549714170792,1.19797714533525,9.72431795236477e-70
"accomd_type_enc2",1.36906459668668,1.35542812000014,1.38283826507943,0
"season_enc1",1.11652069616375,1.10503153630093,1.12812931034983,7.28734020491491e-97
"season_enc2",1.08735778007048,1.07619689692766,1.09863440905209,5.37047844817942e-57
"season_enc3",1.17730275709486,1.16493578844805,1.18980101359035,1.31071556802275e-201
"region_census2",0.999156717406253,0.984166637012508,1.01437511534477,0.912895948892728
"region_census3",0.970551345504928,0.954401649304484,0.986974315214022,0.00048032163390232
"region_census5",1.06515144654887,1.0410616601853,1.08979866176534,6.37939740376346e-08
"tourist_type_enc1",1.52241803348774,1.46339311067407,1.5838236846838,2.16569852135113e-96
"tourist_type_enc2",1.02637834273521,1.0067344712507,1.04640551458136,0.00827210051050396
