"Variable","IRR","Lower_CI","Upper_CI","P_value"
"(Intercept)",0.214143031665568,0.00211474080584478,21.6845666779487,0.513028906917836
"import_from_slu_log",0.99795658961119,0.990677424648666,1.00528923943289,0.583937409963995
"age",1.00581208192933,1.00557045950586,1.00605376241077,0
"immigrant_density_centered",0.995753955958992,0.987524875586546,1.0040516095547,0.314898921703534
"state_percapita_income_log",1.31731649457439,0.864481325853911,2.00735712268124,0.199707281781603
"immigrant_similar",1.0051635055179,0.995182435868551,1.01524467917608,0.311765574910991
"immigrant_moderate",1.00064093274139,0.992170668957075,1.00918350804511,0.882556556067735
"sex_enc1",1.01048016916494,1.00349015332395,1.01751887539047,0.00324256542337279
"marital_status_enc1",1.00400635323477,0.98049096903366,1.02808571335365,0.740899454359744
"marital_status_enc2",1.00402076418872,0.995683728469511,1.01242760738052,0.345566516131482
"employment_status_enc1",0.954341882805189,0.902794586290193,1.00883240009084,0.0990245623056288
"employment_status_enc2",1.11415890944273,1.07080401645479,1.15926916262461,9.38421450326402e-08
"purpose_simple1",1.21007616867698,1.16408879502995,1.25788027532924,5.10060770517198e-22
"purpose_simple2",1.56562634799007,1.51800305592022,1.61474369367116,5.79439129028087e-178
"purpose_simple3",1.15630615018458,1.12578863901107,1.18765092009562,1.8903214138755e-26
"purpose_simple4",1.00790911837756,0.976949366770658,1.03984999168039,0.620653219173972
"accomd_type_enc1",1.13950768119363,1.119147682976,1.16023807693227,9.4692711110337e-46
"accomd_type_enc2",1.26606929559584,1.25301655858897,1.27925800362576,0
