"Variable","IRR","Lower_CI","Upper_CI","P_value"
"(Intercept)",20176.4293983813,2.35738333095792e-31,1.72686511320349e+39,0.809138403236534
"import_from_slu_log",0.997623710893541,0.98988388395728,1.00542405494901,0.549365635987341
"age",1.00581201890081,1.00557039591253,1.00605369994734,0
"state_unemployment",0.982615684491436,0.938097263517081,1.02924677531691,0.458473087431232
"immigrant_density",0.996461908530326,0.992425909360408,1.00051432130769,0.0869552195116763
"state_percapita_income_log",0.360879983917771,4.48062710118254e-05,2906.61016530742,0.824227868142355
"economic_distance",100.852690561335,1.66044220578857e-11,612563638650090,0.758682368245043
"climate_distance",0.959870765467159,0.774406281255789,1.18975259976512,0.708485994798534
"sex_enc1",1.01048082149068,1.00349081612706,1.01751951706073,0.00324058999413698
"marital_status_enc1",1.00399561421164,0.980480532715609,1.02807466310866,0.741567243222332
"marital_status_enc2",1.00400271776812,0.995665830445298,1.01240941133327,0.347731535547636
"employment_status_enc1",0.954362772360184,0.902814465497277,1.00885435056176,0.0991819984020147
"employment_status_enc2",1.11409301198112,1.07074040316407,1.15920090030915,9.53839325846476e-08
"purpose_simple1",1.21012069387855,1.16413167457052,1.25792650929575,5.00840266946883e-22
"purpose_simple2",1.56565106301118,1.51802691791213,1.61476929175898,5.64129632769487e-178
"purpose_simple3",1.1563550344854,1.12583623605583,1.18770112646599,1.82846205867373e-26
"purpose_simple4",1.00798915396246,0.977026967159262,1.03993253887366,0.617135894164775
"accomd_type_enc1",1.13949023079072,1.11913052284205,1.16022033137839,9.69897193624e-46
"accomd_type_enc2",1.26607917999428,1.25302637505996,1.27926795630163,0
