"Variable","IRR","Lower_CI","Upper_CI","P_value"
"(Intercept)",0.529309439951529,0.192006034747081,1.45916498713622,0.218830163630443
"import_from_slu_log",1.00116143597574,0.994676557256835,1.00768859341498,0.726264220982647
"age",1.00701451018834,1.00674328539382,1.00728580805303,0
"distance_miles_log",1.27898007110716,1.12373458492975,1.45567293578629,0.000193834121895489
"state_unemployment",0.961745579555407,0.923414680336495,1.00166759256774,0.0601484215991517
"immigrant_density",0.999453114871266,0.995956686585768,1.00296181779774,0.759644032164313
"sex_enc1",1.00891978380687,1.00191250212155,1.01597607376038,0.0125133991365391
"marital_status_enc1",1.01951763567254,0.995663260858869,1.04394352017239,0.109553734549568
"marital_status_enc2",1.02820595267335,1.01944948791265,1.03703763025825,1.83699848452347e-10
"employment_status_enc1",1.12857321424865,1.08457517136338,1.17435612906243,2.49693541883458e-09
"employment_status_enc2",0.951850349964607,0.900477471510664,1.00615408757288,0.0812873647846015
"purpose_simple2",1.48935997188693,1.42309415648458,1.55871142872133,5.80270101291518e-66
"purpose_simple3",1.12958834090709,0.662505977857996,1.92597480258018,0.654438578643491
"purpose_simple4",1.45427391464223,1.37291927766557,1.54044935723016,3.08382323045935e-37
"purpose_simple5",1.31139876690918,1.25438407249045,1.37100491274295,6.19794663384013e-33
"accomd_type_enc1",1.16895287722804,1.14806410258289,1.19022171854821,1.39236990346157e-64
"accomd_type_enc2",1.36635630610702,1.35275654891404,1.38009278664158,0
"season_enc1",1.11465092671251,1.10319816276023,1.12622258662253,2.82172773309748e-94
"season_enc2",1.0849368432139,1.07381922543609,1.09616956549173,2.84604118499028e-54
"season_enc3",1.1744716263503,1.16212682066034,1.18694756594478,1.58168483636996e-195
"tourist_type_enc1",1.52785759400948,1.4687908319972,1.58929969926234,1.45840850534298e-98
"tourist_type_enc2",1.03424579056546,1.01447492822845,1.05440196257022,0.000627691463306707
