"Variable","IRR","Lower_CI","Upper_CI","P_value"
"(Intercept)",0.0863712036830864,0.00180889107074159,4.12406526093737,0.214356842255033
"import_from_slu_log",1.00096083907892,0.994470446980462,1.00749359059561,0.772308965903588
"age",1.00701493201181,1.00674370416416,1.00728623293123,0
"distance_miles_log",1.25861202286546,1.10145191327474,1.4381964432671,0.00072499185287338
"state_percapita_income_log",1.19117994322806,0.831058973619934,1.70735134591991,0.340854705976076
"state_unemployment",0.967948263643657,0.927455688298297,1.01020873871597,0.13513780138461
"immigrant_density",0.998866649957876,0.995174413516246,1.00257258511378,0.548387258617512
"sex_enc1",1.00891939228315,1.00191209876006,1.01597569425977,0.0125174348842987
"marital_status_enc1",1.01951031646858,0.995656088502597,1.04393605120124,0.109685967781797
"marital_status_enc2",1.028217190458,1.01946054852946,1.03704904743825,1.80792080952307e-10
"employment_status_enc1",1.12863692790158,1.08463644611062,1.17442237866051,2.45466511802429e-09
"employment_status_enc2",0.951841726761044,0.900469258318745,1.00614503430692,0.0812318403293774
"purpose_simple2",1.48940913395816,1.4231409922848,1.55876303215505,5.66602825276342e-66
"purpose_simple3",1.12956092522831,0.662490621564923,1.92592595618743,0.654502273225596
"purpose_simple4",1.45439172573082,1.37303026316853,1.54057441311812,2.9780591005006e-37
"purpose_simple5",1.31142047283514,1.25440478955765,1.37102765461987,6.14445296242303e-33
"accomd_type_enc1",1.16897239359838,1.14808314470492,1.19024172012067,1.35236648801934e-64
"accomd_type_enc2",1.36637833556759,1.35277824744724,1.38011515149031,0
"season_enc1",1.11464850759398,1.10319574407426,1.12622016732313,2.84842105957015e-94
"season_enc2",1.08495947952722,1.07384148888393,1.0961925800049,2.68359878640161e-54
"season_enc3",1.17444542995653,1.16210083152098,1.18692116082603,1.79854586328111e-195
"tourist_type_enc1",1.52781826802292,1.46875285880112,1.58925897309222,1.50028489648421e-98
"tourist_type_enc2",1.03425208952611,1.01448112329522,1.05440836712134,0.000626259517968962
